LOC_PID,LGA_PID,LGA,LOCALITY,State.Region,ABB_NAME,Metro.Region,State,POA_CODE16
VIC1861,VIC214,Gannawarra,Mystic Park,Loddon Mallee,GANNAWARRA,,VIC,3579
VIC1862,VIC190,Moira,Mywee,Hume,MOIRA,,VIC,3641
VIC1863,VIC110,Strathbogie,Nagambie,Hume,STRATHBOGIE,,VIC,3608
VIC1864,VIC224,Colac Otway,Nalangil,Barwon South West,COLAC OTWAY,,VIC,3249
VIC1865,VIC110,Strathbogie,Nalinga,Hume,STRATHBOGIE,,VIC,3669
VIC1865,VIC93,Greater Shepparton,Nalinga,Hume,GREATER SHEPPARTON,,VIC,3646
VIC1866,VIC218,Wellington,Nambrok,Gippsland,WELLINGTON,,VIC,3847
VIC1867,VIC183,Buloke,Nandaly,Loddon Mallee,BULOKE,,VIC,3533
VIC1868,VIC212,Cardinia,Nangana,Greater Metropolitan Melbourne,CARDINIA,Outer Metropolitan,VIC,3781
VIC1869,VIC223,Glenelg,Nangeela,Barwon South West,GLENELG,,VIC,3312
VIC187,VIC206,Yarra Ranges,Beenak,Greater Metropolitan Melbourne,YARRA RANGES,Outer Metropolitan,VIC,3139
VIC1870,VIC222,Mildura,Nangiloc,Loddon Mallee,MILDURA,,VIC,3494
VIC1871,VIC239,Campaspe,Nanneella,Loddon Mallee,CAMPASPE,,VIC,3561
VIC1872,VIC218,Wellington,Nap Nap Marra,Gippsland,WELLINGTON,,VIC,3860
VIC1873,VIC230,Golden Plains,Napoleons,Grampians,GOLDEN PLAINS,,VIC,3352
VIC1874,VIC212,Cardinia,Nar Nar Goon,Greater Metropolitan Melbourne,CARDINIA,Outer Metropolitan,VIC,3812
VIC1875,VIC212,Cardinia,Nar Nar Goon North,Greater Metropolitan Melbourne,CARDINIA,Outer Metropolitan,VIC,3812
VIC1876,VIC250,Murrindindi,Narbethong,Hume,MURRINDINDI,,VIC,3778
VIC1877,VIC229,Moyne,Nareeb,Barwon South West,MOYNE,,VIC,3293
VIC1877,VIC233,Southern Grampians,Nareeb,Barwon South West,SOUTHERN GRAMPIANS,,VIC,3293
VIC1878,VIC223,Glenelg,Nareen,Barwon South West,GLENELG,,VIC,3315
VIC1878,VIC233,Southern Grampians,Nareen,Barwon South West,SOUTHERN GRAMPIANS,,VIC,3315
VIC1879,VIC183,Buloke,Nareewillock,Loddon Mallee,BULOKE,,VIC,3525
